,source_genesymbol,target_genesymbol,references
26,EPOR,TRPC3,TRIP:18276585;TRIP:19074769;TRIP:21757714
38,FYN,TRPC4,TRIP:16144838;TRIP:18048348;dbPTM:16144838
48,FYN,TRPC6,HPRD:14761972;SPIKE_LC:16713569;TRIP:14761972
71,FYN,TRPV4,HPRD:12538589;SPIKE_LC:16713569;TRIP:12538589
88,KL,TRPV5,TRIP:16239475;TRIP:18495742;TRIP:18606998
90,S100A10,TRPV5,Lit-BM-17:12660155;TRIP:12660155
99,KL,TRPV6,TRIP:16239475;TRIP:18495742
106,S100A10,TRPV6,CellTalkDB:18187190;HPRD:12660155;SPIKE_LC:16189514;TRIP:12660155;TRIP:16189514;TRIP:18187190
145,EPOR,JAK2,BioGRID:8343951;HPRD:11779507;HPRD:12441334;HPRD:8343951;SignaLink3:11779507;SignaLink3:18160720;SignaLink3:23331499;SignaLink3:8343951
161,JAG2,NOTCH1,Baccin2019:1100613311006130;CellChatDB:22353464;CellTalkDB:22353464;Cellinker:11006133;Cellinker:22353464;HPRD:11006133;ICELLNET:16921404;ICELLNET:21352254;ICELLNET:22503540;LRdb:11006133;NetPath:11006133;SIGNOR:9315665;SPIKE:11006133;SPIKE:16713569;SPIKE_LC:11006133;SPIKE_LC:16713569;SignaLink3:10958687;SignaLink3:11006133;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:11006133
162,DLL1,NOTCH1,Baccin2019:1006133;Baccin2019:98194281;CellChatDB:22353464;CellTalkDB:22353464;Cellinker:11006133;Cellinker:22353464;Cellinker:9819428;HPRD:11006133;ICELLNET:21685328;LRdb:11;LRdb:9819428;NetPath:11006133;SIGNOR:16140393;SPIKE:11006133;SPIKE:17537801;SPIKE_LC:11006133;SPIKE_LC:17537801;connectomeDB2020:11006133;connectomeDB2020:9819428
226,IGF1,IGF1R,Baccin2019:1852007;Baccin2019:2877871;CA1:8408032;CellChatDB:14604834;CellTalkDB:2877871;Cellinker:14604834;Cellinker:1852007;Cellinker:2877871;DIP:11287679;DIP:21645859;HPMR:2877871;HPRD:1852007;ICELLNET:1852007;ICELLNET:2877871;IntAct:21645859;IntAct:8452530;LRdb:185;LRdb:2877871;ProtMapper:19258508;ProtMapper:23675206;SIGNOR:19029956;SIGNOR:21798082;SPIKE:1852007;SPIKE_LC:1852007;SignaLink3:12067807;SignaLink3:1852007;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:1852007;connectomeDB2020:2877871
227,CCL2,MMP14,SPIKE:15516694;SPIKE_LC:15516694
284,VCL,PRKCA,Adhesome:11741957;HPRD:11741957;SIGNOR:11741957
353,TP53,MCL1,ACSN:11160159;ACSN:18208354;ACSN:19808698;SPIKE:11832478;SPIKE:18208354;SPIKE_LC:11832478;SPIKE_LC:18208354
423,WNT1,NOTCH1,SPIKE:18495817;SPIKE_LC:18495817
442,JAG1,NOTCH1,ACSN:22330899;ACSN:22363130;Baccin2019:769772111006133;BioGRID:11006133;CellChatDB:22353464;CellTalkDB:22353464;Cellinker:11006133;Cellinker:22353464;Cellinker:7697721;DIP:18660822;HPMR:7697721;HPRD:11006133;ICELLNET:15137944;ICELLNET:16921404;ICELLNET:18292500;IntAct:18660822;IntAct:23086448;LRdb:11;LRdb:7697721;Lit-BM-17:11006133;Lit-BM-17:18660822;Lit-BM-17:21820430;NetPath:11006133;SIGNOR:18660822;SPIKE:11006133;SPIKE:16713569;SPIKE:17537801;SPIKE:18495817;SPIKE_LC:11006133;SPIKE_LC:16713569;SPIKE_LC:17537801;SPIKE_LC:18495817;SignaLink3:10958687;SignaLink3:11006133;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:11006133;connectomeDB2020:7697721
460,TGFA,ERBB2,Baccin2019:10918572;CellTalkDB:10918572;HPRD:10918572;ICELLNET:10918572;LRdb:10918572;SPIKE:10918572;SPIKE_LC:10918572;connectomeDB2020:10918572
