,Id,category,identifier
ABCC4,1,Ligand,ABCC4
ACP5,2,Ligand,ACP5
ACP5,3,Receptor,ACP5
ACVR1,4,Ligand,ACVR1
ACVR1,5,Receptor,ACVR1
ACVR2A,6,Ligand,ACVR2A
ACVR2A,7,Receptor,ACVR2A
ADORA2B,8,Ligand,ADORA2B
ADORA2B,9,Receptor,ADORA2B
AFP,10,Receptor,AFP
AHNAK,11,Ligand,AHNAK
AHNAK,12,Receptor,AHNAK
ALDH1A2,13,Receptor,ALDH1A2
ALDH2,14,Receptor,ALDH2
ALX1,15,Receptor,ALX1
APLN,16,Ligand,APLN
APLN,17,Receptor,APLN
APLNR,18,Ligand,APLNR
APLNR,19,Receptor,APLNR
APOA4,20,Ligand,APOA4
APOB,21,Ligand,APOB
APOB,22,Receptor,APOB
AQP3,23,Receptor,AQP3
ARHGDIB,24,Ligand,ARHGDIB
ARHGDIB,25,Receptor,ARHGDIB
ARL4D,26,Receptor,ARL4D
ASH2L,27,Ligand,ASH2L
ASH2L,28,Receptor,ASH2L
ASS1,29,Receptor,ASS1
ATP1B1,30,Ligand,ATP1B1
ATP1B1,31,Receptor,ATP1B1
AXIN2,32,Ligand,AXIN2
AXIN2,33,Receptor,AXIN2
BAK1,34,Ligand,BAK1
BAK1,35,Receptor,BAK1
BAMBI,36,Ligand,BAMBI
BAMBI,37,Receptor,BAMBI
BCL2,38,Ligand,BCL2
BCL2,39,Receptor,BCL2
BID,40,Ligand,BID
BID,41,Receptor,BID
BMI1,42,Ligand,BMI1
BMI1,43,Receptor,BMI1
BMP2,44,Ligand,BMP2
BMP2,45,Receptor,BMP2
BMP4,46,Ligand,BMP4
BMP4,47,Receptor,BMP4
BMP5,48,Ligand,BMP5
BMP5,49,Receptor,BMP5
BMP7,50,Ligand,BMP7
BMP7,51,Receptor,BMP7
CBFA2T3,52,Ligand,CBFA2T3
CBFA2T3,53,Receptor,CBFA2T3
CCNG1,54,Ligand,CCNG1
CCNG1,55,Receptor,CCNG1
