,Id,category,identifier
NRP1,1,Ligand,NRP1
NRP2,2,Ligand,NRP2
NGFR,3,Ligand,NGFR
ENG,4,Ligand,ENG
RYK,5,Ligand,RYK
GAS1,6,Ligand,GAS1
LRP2,7,Ligand,LRP2
ROR1,8,Ligand,ROR1
ROR2,9,Ligand,ROR2
BAMBI,10,Ligand,BAMBI
CDON,11,Ligand,CDON
KLB,12,Ligand,KLB
BOC,13,Ligand,BOC
KL,14,Ligand,KL
LAMB4,15,Ligand,LAMB4
LRIT2,16,Ligand,LRIT2
LILRA5,17,Ligand,LILRA5
CD300LB,18,Ligand,CD300LB
TARM1,19,Ligand,TARM1
CASP8,20,Ligand,CASP8
KLRF2,21,Ligand,KLRF2
PRNP,22,Ligand,PRNP
TLR4,23,Ligand,TLR4
TNFRSF10A,24,Ligand,TNFRSF10A
GRM8,25,Ligand,GRM8
BMPR1B,26,Ligand,BMPR1B
TNFRSF11B,27,Ligand,TNFRSF11B
BTN3A3,28,Ligand,BTN3A3
BTN3A1,29,Ligand,BTN3A1
CHL1,30,Ligand,CHL1
DLL1,31,Ligand,DLL1
PODXL,32,Ligand,PODXL
CLDN4,33,Ligand,CLDN4
ADGRB1,34,Ligand,ADGRB1
PTPRT,35,Ligand,PTPRT
NCAN,36,Ligand,NCAN
IRS4,37,Ligand,IRS4
ADAM10,38,Ligand,ADAM10
ITGB1BP1,39,Ligand,ITGB1BP1
TNFRSF10B,40,Ligand,TNFRSF10B
TNFSF11,41,Ligand,TNFSF11
TNFRSF10C,42,Ligand,TNFRSF10C
TNFRSF13B,43,Ligand,TNFRSF13B
NCR3,44,Ligand,NCR3
PLXNB2,45,Ligand,PLXNB2
MUSK,46,Ligand,MUSK
EPHB6,47,Ligand,EPHB6
LAMA5,48,Ligand,LAMA5
CHAD,49,Ligand,CHAD
GPR37,50,Ligand,GPR37
SIGLEC5,51,Ligand,SIGLEC5
NCAM2,52,Ligand,NCAM2
TLR3,53,Ligand,TLR3
CLDN3,54,Ligand,CLDN3
FLRT2,55,Ligand,FLRT2
PLXNB1,56,Ligand,PLXNB1
ADAM12,57,Ligand,ADAM12
LRRTM2,58,Ligand,LRRTM2
TGOLN2,59,Ligand,TGOLN2
ADAM20,60,Ligand,ADAM20
TNFSF12,61,Ligand,TNFSF12
TNFSF14,62,Ligand,TNFSF14
CA12,63,Ligand,CA12
SIGLEC6,64,Ligand,SIGLEC6
EDIL3,65,Ligand,EDIL3
TYROBP,66,Ligand,TYROBP
EFNA2,67,Ligand,EFNA2
FZD6,68,Ligand,FZD6
DSCAM,69,Ligand,DSCAM
PLXNC1,70,Ligand,PLXNC1
CUBN,71,Ligand,CUBN
NPHS1,72,Ligand,NPHS1
TLR2,73,Ligand,TLR2
TSPAN1,74,Ligand,TSPAN1
TSPAN3,75,Ligand,TSPAN3
JAK2,76,Ligand,JAK2
CTNND1,77,Ligand,CTNND1
SCN2B,78,Ligand,SCN2B
FCGR3B,79,Ligand,FCGR3B
LILRA1,80,Ligand,LILRA1
LILRB3,81,Ligand,LILRB3
PLXNA2,82,Ligand,PLXNA2
IGSF3,83,Ligand,IGSF3
SDC3,84,Ligand,SDC3
ADAM23,85,Ligand,ADAM23
FZD7,86,Ligand,FZD7
MFAP3L,87,Ligand,MFAP3L
CPNE3,88,Ligand,CPNE3
ICOSLG,89,Ligand,ICOSLG
CDH16,90,Ligand,CDH16
LRRN2,91,Ligand,LRRN2
SEMA7A,92,Ligand,SEMA7A
HMMR,93,Ligand,HMMR
NCOR1,94,Ligand,NCOR1
GPC4,95,Ligand,GPC4
DAB1,96,Ligand,DAB1
ITGA10,97,Ligand,ITGA10
LRP6,98,Ligand,LRP6
CEACAM4,99,Ligand,CEACAM4
TNFSF13,100,Ligand,TNFSF13
MPDZ,101,Ligand,MPDZ
NCR1,102,Ligand,NCR1
CNTN5,103,Ligand,CNTN5
MYO1D,104,Ligand,MYO1D
NFASC,105,Ligand,NFASC
SLITRK3,106,Ligand,SLITRK3
TJP3,107,Ligand,TJP3
TNFSF15,108,Ligand,TNFSF15
UNC5C,109,Ligand,UNC5C
PCDH8,110,Ligand,PCDH8
MPZL1,111,Ligand,MPZL1
TNFRSF6B,112,Ligand,TNFRSF6B
GNAS,113,Ligand,GNAS
CLDN14,114,Ligand,CLDN14
CRTAM,115,Ligand,CRTAM
SEMA4F,116,Ligand,SEMA4F
CLDN1,117,Ligand,CLDN1
MPIG6B,118,Ligand,MPIG6B
CD160,119,Ligand,CD160
RECK,120,Ligand,RECK
EGFR,121,Ligand,EGFR
CA2,122,Ligand,CA2
LDLR,123,Ligand,LDLR
IL2RA,124,Ligand,IL2RA
CD4,125,Ligand,CD4
CD8A,126,Ligand,CD8A
PIGR,127,Ligand,PIGR
HLA-B,128,Ligand,HLA-B
HLA-DRA,129,Ligand,HLA-DRA
HLA-DRB1,130,Ligand,HLA-DRB1
COL1A1,131,Ligand,COL1A1
COL2A1,132,Ligand,COL2A1
APOA1,133,Ligand,APOA1
MBP,134,Ligand,MBP
FN1,135,Ligand,FN1
TFRC,136,Ligand,TFRC
TF,137,Ligand,TF
ESR1,138,Ligand,ESR1
ANXA1,139,Ligand,ANXA1
THY1,140,Ligand,THY1
CD74,141,Ligand,CD74
CD3D,142,Ligand,CD3D
IGKV1-16,143,Ligand,IGKV1-16
HLA-A,144,Ligand,HLA-A
ERBB2,145,Ligand,ERBB2
WNT1,146,Ligand,WNT1
NTRK1,147,Ligand,NTRK1
GNAI2,148,Ligand,GNAI2
ATP1B1,149,Ligand,ATP1B1
APP,150,Ligand,APP
ITGB3,151,Ligand,ITGB3
ITGB2,152,Ligand,ITGB2
ICAM1,153,Ligand,ICAM1
ITGB1,154,Ligand,ITGB1
CD5,155,Ligand,CD5
INSR,156,Ligand,INSR
LCK,157,Ligand,LCK
FYN,158,Ligand,FYN
CD2,159,Ligand,CD2
CEACAM5,160,Ligand,CEACAM5
GPI,161,Ligand,GPI
ITGAV,162,Ligand,ITGAV
LPL,163,Ligand,LPL
TPO,164,Ligand,TPO
CSF1R,165,Ligand,CSF1R
ANXA2,166,Ligand,ANXA2
GP1BA,167,Ligand,GP1BA
ADRB2,168,Ligand,ADRB2
DCN,169,Ligand,DCN
HSP90AA1,170,Ligand,HSP90AA1
LAMB1,171,Ligand,LAMB1
LYN,172,Ligand,LYN
RET,173,Ligand,RET
THBS1,174,Ligand,THBS1
IGF1R,175,Ligand,IGF1R
COL1A2,176,Ligand,COL1A2
CD55,177,Ligand,CD55
SLC3A2,178,Ligand,SLC3A2
HSP90AB1,179,Ligand,HSP90AB1
ITGA2B,180,Ligand,ITGA2B
CD14,181,Ligand,CD14
PTPRC,182,Ligand,PTPRC
MET,183,Ligand,MET
ITGA5,184,Ligand,ITGA5
GNAI3,185,Ligand,GNAI3
RPSA,186,Ligand,RPSA
IL6R,187,Ligand,IL6R
HTR1A,188,Ligand,HTR1A
CD63,189,Ligand,CD63
CD48,190,Ligand,CD48
CD7,191,Ligand,CD7
PDGFRB,192,Ligand,PDGFRB
CLEC2L,193,Ligand,CLEC2L
CALM1,194,Ligand,CALM1
CALM2,195,Ligand,CALM2
CALM3,196,Ligand,CALM3
SRGN,197,Ligand,SRGN
AR,198,Ligand,AR
HLA-C,199,Ligand,HLA-C
PTPRF,200,Ligand,PTPRF
KIT,201,Ligand,KIT
CD28,202,Ligand,CD28
CLU,203,Ligand,CLU
GHR,204,Ligand,GHR
LAMC1,205,Ligand,LAMC1
ITGAM,206,Ligand,ITGAM
FGFR1,207,Ligand,FGFR1
IGF2R,208,Ligand,IGF2R
MS4A1,209,Ligand,MS4A1
CD79A,210,Ligand,CD79A
F5,211,Ligand,F5
FCGR1A,212,Ligand,FCGR1A
FCGR2A,213,Ligand,FCGR2A
FCER1A,214,Ligand,FCER1A
CDH1,215,Ligand,CDH1
SRC,216,Ligand,SRC
PEPD,217,Ligand,PEPD
IFITM1,218,Ligand,IFITM1
GP1BB,219,Ligand,GP1BB
CFTR,220,Ligand,CFTR
NCAM1,221,Ligand,NCAM1
ICAM2,222,Ligand,ICAM2
VCAN,223,Ligand,VCAN
ITGA4,224,Ligand,ITGA4
CEACAM1,225,Ligand,CEACAM1
F3,226,Ligand,F3
HLA-E,227,Ligand,HLA-E
GFAP,228,Ligand,GFAP
SELL,229,Ligand,SELL
CD99,230,Ligand,CD99
DRD2,231,Ligand,DRD2
GP9,232,Ligand,GP9
IL1R1,233,Ligand,IL1R1
IL2RB,234,Ligand,IL2RB
PVR,235,Ligand,PVR
IFNGR1,236,Ligand,IFNGR1
EZR,237,Ligand,EZR
CD19,238,Ligand,CD19
CD46,239,Ligand,CD46
CD1D,240,Ligand,CD1D
ST6GAL1,241,Ligand,ST6GAL1
MUC1,242,Ligand,MUC1
CD44,243,Ligand,CD44
SELP,244,Ligand,SELP
ACAN,245,Ligand,ACAN
ITGB4,246,Ligand,ITGB4
SPN,247,Ligand,SPN
PDGFRA,248,Ligand,PDGFRA
PECAM1,249,Ligand,PECAM1
KCNA2,250,Ligand,KCNA2
CTLA4,251,Ligand,CTLA4
EPCAM,252,Ligand,EPCAM
PRLR,253,Ligand,PRLR
TSHR,254,Ligand,TSHR
GNB3,255,Ligand,GNB3
SELE,256,Ligand,SELE
ATP2A2,257,Ligand,ATP2A2
CD36,258,Ligand,CD36
IL7R,259,Ligand,IL7R
IFNAR1,260,Ligand,IFNAR1
ITGA2,261,Ligand,ITGA2
HLA-G,262,Ligand,HLA-G
FLT1,263,Ligand,FLT1
ITGB5,264,Ligand,ITGB5
ITGB6,265,Ligand,ITGB6
SDC1,266,Ligand,SDC1
CDH2,267,Ligand,CDH2
EPOR,268,Ligand,EPOR
CD58,269,Ligand,CD58
VCAM1,270,Ligand,VCAM1
CD53,271,Ligand,CD53
