,Id,category,identifier
1,1,Ligand,LGALS9
2,2,Ligand,DLL1
3,3,Ligand,PODXL
4,4,Ligand,NRG2
5,5,Ligand,ADGRB1
6,6,Ligand,ADAM10
7,7,Ligand,TNFSF11
8,8,Ligand,EREG
9,9,Ligand,ADAM12
10,10,Ligand,TNFSF12
11,11,Ligand,TNFSF14
12,12,Ligand,ADAM23
13,13,Ligand,ADAM11
14,14,Ligand,ICOSLG
15,15,Ligand,SEMA7A
16,16,Ligand,TNFSF13
17,17,Ligand,NFASC
18,18,Ligand,SLITRK3
19,19,Ligand,SLITRK5
20,20,Ligand,TNFSF15
21,21,Ligand,TGFA
22,22,Ligand,TNF
23,23,Ligand,HLA-B
24,24,Ligand,HLA-DRA
25,25,Ligand,HLA-DQA2
26,26,Ligand,HLA-DQA1
27,27,Ligand,HLA-DRB1
28,28,Ligand,HLA-DQB1
29,29,Ligand,ANXA1
30,30,Ligand,THY1
31,31,Ligand,HLA-A
32,32,Ligand,HLA-DPB1
33,33,Ligand,APP
34,34,Ligand,ITGB2
35,35,Ligand,ICAM1
36,36,Ligand,LCK
37,37,Ligand,FCER2
38,38,Ligand,ITGAV
39,39,Ligand,ANXA2
40,40,Ligand,GP1BA
41,41,Ligand,THBS1
42,42,Ligand,CD55
43,43,Ligand,CD14
44,44,Ligand,MELTF
45,45,Ligand,CD48
46,46,Ligand,CSF1
47,47,Ligand,HLA-C
48,48,Ligand,TGFB3
49,49,Ligand,CD28
50,50,Ligand,ACE
51,51,Ligand,CDH1
52,52,Ligand,TDGF1
53,53,Ligand,NCAM1
54,54,Ligand,ICAM2
55,55,Ligand,CEACAM1
56,56,Ligand,HLA-E
57,57,Ligand,HLA-DRB4
58,58,Ligand,HLA-DOB
59,59,Ligand,SELL
60,60,Ligand,CD99
61,61,Ligand,PLA2G2A
62,62,Ligand,CD1D
63,63,Ligand,ST6GAL1
64,64,Ligand,SPN
65,65,Ligand,SELE
66,66,Ligand,HLA-G
67,67,Ligand,CD58
68,68,Ligand,VCAM1
69,69,Ligand,HLA-DPA1
70,70,Ligand,CD22
71,71,Ligand,EFNA1
72,72,Ligand,KITLG
73,73,Ligand,MRC1
74,74,Ligand,MPZ
75,75,Ligand,HLA-DMA
76,76,Ligand,HLA-DMB
77,77,Ligand,CD34
78,78,Ligand,CD40LG
79,79,Ligand,HLA-F
80,80,Ligand,CEACAM8
81,81,Ligand,L1CAM
82,82,Ligand,ICAM3
83,83,Ligand,CD80
84,84,Ligand,SDC2
85,85,Ligand,BTC
86,86,Ligand,CEACAM6
87,87,Ligand,CD96
88,88,Ligand,CD200
89,89,Ligand,TNFSF9
90,90,Ligand,CD86
91,91,Ligand,GDF5
92,92,Ligand,BAG6
93,93,Ligand,FASLG
94,94,Ligand,FLT3LG
95,95,Ligand,TNFSF10
96,96,Ligand,EFNA4
97,97,Ligand,EFNB2
98,98,Ligand,EFNA5
99,99,Ligand,NRG3
100,100,Ligand,JAM2
101,101,Ligand,NRXN1
102,102,Ligand,NRXN2
103,103,Ligand,B2M
104,104,Ligand,CXADR
105,105,Ligand,SIRPA
106,106,Ligand,JAG1
107,107,Ligand,ADAM17
108,108,Ligand,HLA-DRB3
109,109,Ligand,DLK1
110,110,Ligand,EFNB1
111,111,Ligand,CNTN2
112,112,Ligand,NRG1
113,113,Ligand,DSG1
114,114,Ligand,DSC2
115,115,Ligand,DSC1
116,116,Ligand,CD47
117,117,Ligand,BST2
118,118,Ligand,CNTN1
119,119,Ligand,ADAM9
120,120,Ligand,ADAM15
121,121,Ligand,MADCAM1
122,122,Ligand,SEMA5A
123,123,Ligand,ALCAM
124,124,Ligand,DSG2
125,125,Ligand,SELPLG
126,126,Ligand,DSC3
127,127,Ligand,ICAM4
128,128,Ligand,NECTIN1
129,129,Ligand,EFNB3
130,130,Ligand,NTRK3
131,131,Ligand,MICB
132,132,Ligand,MICA
133,133,Ligand,HLA-DRB5
134,134,Ligand,TIGIT
135,135,Ligand,IGSF11
136,136,Ligand,COL13A1
137,137,Ligand,RAET1L
138,138,Ligand,NCR3LG1
139,139,Ligand,RAET1G
140,140,Ligand,CSPG4
141,141,Ligand,EPGN
142,142,Ligand,DLK2
143,143,Ligand,BTLA
144,144,Ligand,PDPN
145,145,Ligand,JAML
146,146,Ligand,CNTN4
147,147,Ligand,NLGN4X
148,148,Ligand,CADM3
149,149,Ligand,NLGN1
150,150,Ligand,CD177
151,151,Ligand,SEMA6D
152,152,Ligand,NLGN2
153,153,Ligand,LILRB4
